recnum,person_id,fc_num,contact_date,sex,race,age,build,hair_style,skin_tone,ethnicity,otherclothing,deceased,license_state,license_type,was_frisked
,30750626451,FC22000008,2022-01-01 00:00:00.0000000,Male,Black,NULL,NULL,NULL,NULL,NULL,,0,NULL,,0
,30745256091,FC22000001,2022-01-01 02:30:00.0000000,Male,Black,25,Thin,Short,Brown,Not of Hispanic Origin,,0,MA,Personal Driver License,1
,30747685932,FC22000004,2022-01-01 09:29:00.0000000,Male,Black,39,Medium,Bald or Balding,Medium Brown,Not of Hispanic Origin,,0,MA,Class D,1
,30747687157,FC22000004,2022-01-01 09:29:00.0000000,Female,Black,35,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,NULL
,30747589299,FC22000003,2022-01-01 10:16:00.0000000,Male,White,54,Medium,NULL,NULL,Not of Hispanic Origin,,0,NULL,,0
,30747590767,FC22000003,2022-01-01 10:16:00.0000000,Female,White,44,NULL,NULL,NULL,Unknown,,0,MA,ID Only - Never had Personal Driver License,0
,30747698277,FC22000005,2022-01-01 10:29:00.0000000,Female,White,31,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,30747702696,FC22000005,2022-01-01 10:29:00.0000000,Male,Black,35,Medium,Short,Medium Brown,NULL,,0,MA,Class D,0
,30747811746,FC22000006,2022-01-01 11:50:00.0000000,Male,White,39,Medium,Short,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,30749667345,FC22000007,2022-01-01 19:35:00.0000000,Male,Black,40,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,1
,30749678082,FC22000007,2022-01-01 19:35:00.0000000,Female,Black,41,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,30749688290,FC22000007,2022-01-01 19:35:00.0000000,Female,Black,38,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,0
,30750696903,FC22000009,2022-01-01 23:59:00.0000000,Male,White,31,NULL,NULL,NULL,Not of Hispanic Origin,,0,PA,,0
,30750707095,FC22000009,2022-01-01 23:59:00.0000000,Male,White,28,NULL,NULL,NULL,Hispanic Origin,,0,PA,,0
,30755953239,FC22000016,2022-01-02 01:06:00.0000000,Male,Black,42,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,NULL
,30756011728,FC22000016,2022-01-02 01:06:00.0000000,Male,Black,48,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,0
,30752170884,FC22000010,2022-01-02 01:15:00.0000000,Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,,0,NULL,,0
,30752977600,FC22000012,2022-01-02 09:45:00.0000000,Male,White,67,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,30766252033,FC22000026,2022-01-02 14:20:00.0000000,Male,Black,56,Medium,Short,Medium Brown,Unknown,,0,MA,,0
,30754808684,FC22000014,2022-01-02 17:00:00.0000000,Male,Black,24,Thin,Short,Medium Brown,Hispanic Origin,,0,MA,Instruction Permit,0
,30755200606,FC22000015,2022-01-02 18:35:00.0000000,Male,Black,20,Thin,NULL,NULL,Hispanic Origin,,0,MA,,1
,30755205660,FC22000015,2022-01-02 18:35:00.0000000,Male,White,18,Thin,NULL,NULL,Hispanic Origin,,0,MA,,1
,30755211442,FC22000015,2022-01-02 18:35:00.0000000,Male,Black,18,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,,1
,30755213925,FC22000015,2022-01-02 18:35:00.0000000,Male,White,21,Medium,NULL,NULL,Hispanic Origin,,0,MA,None,1
,30761605536,FC22000021,2022-01-02 22:15:00.0000000,Male,Black,14,NULL,NULL,NULL,NULL,,0,NULL,,1
,30761619492,FC22000021,2022-01-02 22:15:00.0000000,Male,White,15,NULL,NULL,NULL,Hispanic Origin,,0,NULL,,1
,30761621480,FC22000021,2022-01-02 22:15:00.0000000,Male,Black,18,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,1
,30756711263,FC22000017,2022-01-03 00:15:00.0000000,Male,White,51,Thin,NULL,NULL,Hispanic Origin,,0,MA,,0
,30760582299,FC22000019,2022-01-03 09:00:00.0000000,Male,White,51,Medium,NULL,NULL,Hispanic Origin,,0,MA,,1
,30760587086,FC22000019,2022-01-03 09:00:00.0000000,Male,White,56,Medium,NULL,NULL,Not of Hispanic Origin,,0,NULL,,1
,30761146998,FC22000020,2022-01-03 12:20:00.0000000,Male,Black,17,Medium,Short,Dark,Not of Hispanic Origin,,0,MA,None,1
,30761147402,FC22000020,2022-01-03 12:20:00.0000000,Female,Black,20,NULL,NULL,NULL,Unknown,,0,RI,Other: Class 10 - RI,1
,30762317021,FC22000022,2022-01-03 17:03:00.0000000,Male,Black,23,Thin,Dreadlocks,Medium Brown,NULL,,0,MA,Class D,0
,30762787900,FC22000023,2022-01-03 18:21:00.0000000,Male,White,35,Thin,Short,Medium,Not of Hispanic Origin,,0,MA,,1
