recnum,person_id,fc_num,contact_date,sex,race,age,build,hair_style,skin_tone,ethnicity,otherclothing,deceased,license_state,license_type,was_frisked
,47395892821,FC23001530,2023-03-23 20:37:00.0000000,Male,Black,29,Medium,Dreadlocks,Medium Brown,Not of Hispanic Origin,,0,MA,,0
,47395878015,FC23001530,2023-03-23 20:37:00.0000000,Male,Black,40,Stocky,NULL,Brown,Not of Hispanic Origin,,0,MA,Class D,0
,47395797656,FC23001530,2023-03-23 20:37:00.0000000,Male,Black,32,Thin,Short,Dark,Not of Hispanic Origin,,0,MA,Class D,0
,47410113359,FC23001538,2023-03-24 03:00:00.0000000,Male,White,22,Thin,Straight,Light,NULL,,0,MA,,0
,47501670771,FC23001543,2023-03-24 13:12:00.0000000,Male,White,22,Thin,Straight,Light,NULL,,0,MA,,0
,47503884432,FC23001547,2023-03-24 00:00:00.0000000,Male,Black,32,Medium,Afro,Dark,Not of Hispanic Origin,,0,MA,Other: suspended,1
,47505256116,FC23001557,2023-03-24 18:45:00.0000000,Female,Unknown,22,NULL,NULL,NULL,Hispanic Origin,,0,MA,,0
,47505450056,FC23001558,2023-03-24 00:00:00.0000000,Unknown,Unknown,21,NULL,NULL,NULL,NULL,,0,NULL,,0
,47505434350,FC23001558,2023-03-24 00:00:00.0000000,Male,Black,21,Thin,NULL,NULL,Hispanic Origin,,0,MA,,0
,47506116104,FC23001561,2023-03-25 00:14:00.0000000,Male,Black,18,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,1
,49299921224,FC23002190,2023-04-27 19:26:00.0000000,Male,Black,28,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,49301206589,FC23002194,2023-04-28 21:48:00.0000000,Male,Black,22,NULL,NULL,NULL,Unknown,,0,MA,Class D,0
,49301167795,FC23002194,2023-04-28 21:48:00.0000000,Male,White,18,NULL,NULL,NULL,Hispanic Origin,,0,MA,Class D,0
,49301201485,FC23002194,2023-04-28 21:48:00.0000000,Male,White,17,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,0
,49308810696,FC23002203,2023-04-29 18:11:00.0000000,Male,White,34,Thin,Short,NULL,Not of Hispanic Origin,,0,MA,,1
,49308885940,FC23002204,2023-04-29 19:18:00.0000000,Male,Asian,NULL,NULL,NULL,NULL,NULL,,0,NULL,,0
,49308901355,FC23002204,2023-04-29 19:18:00.0000000,Male,Asian,NULL,NULL,NULL,NULL,NULL,,0,NULL,,0
,49308865209,FC23002204,2023-04-29 19:18:00.0000000,Male,Asian,NULL,NULL,NULL,NULL,NULL,,0,NULL,,0
,49309203784,FC23002205,2023-04-29 20:08:00.0000000,Male,White,22,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,NULL
,49309212045,FC23002205,2023-04-29 20:08:00.0000000,Male,Black,11,NULL,NULL,NULL,Unknown,,0,NULL,,0
,49309217609,FC23002205,2023-04-29 20:08:00.0000000,Male,Black,10,NULL,NULL,NULL,Unknown,,0,NULL,,0
,49309223944,FC23002205,2023-04-29 20:08:00.0000000,Male,Black,12,NULL,NULL,NULL,Unknown,,0,NULL,,0
,49309459009,FC23002206,2023-04-29 18:30:00.0000000,Male,White,33,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,49309461958,FC23002206,2023-04-29 18:30:00.0000000,Male,Black,57,Medium,Short,Medium Brown,Not of Hispanic Origin,,0,MA,,0
,49309630382,FC23002207,2023-04-29 18:38:00.0000000,Male,Black,32,Medium,Short,Medium Brown,Not of Hispanic Origin,,0,MA,Class D,1
,49310520675,FC23002208,2023-04-30 01:55:00.0000000,Male,NULL,27,NULL,NULL,NULL,NULL,,0,NULL,,0
,47506105486,FC23001561,2023-03-25 00:14:00.0000000,Male,Black,20,NULL,Braided,Dark Brown,Not of Hispanic Origin,,0,MA,None,1
,47506118611,FC23001561,2023-03-25 00:14:00.0000000,Male,Black,20,NULL,NULL,NULL,NULL,,0,NULL,,1
,47609316726,FC23001566,2023-03-24 11:15:00.0000000,Male,Black,35,Medium,Short,Medium Brown,Hispanic Origin,,0,MA,Class D,0
,47610594100,FC23001568,2023-03-25 00:00:00.0000000,Male,Black,22,Medium,Short,Medium Brown,NULL,,0,MA,,0
,47610593318,FC23001568,2023-03-25 00:00:00.0000000,Male,White,22,Thin,NULL,NULL,Hispanic Origin,,0,MA,Class D,0
,47611679236,FC23001573,2023-03-25 19:00:00.0000000,Male,Black,25,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,47611680878,FC23001573,2023-03-25 19:00:00.0000000,Male,Black,26,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,47611677864,FC23001573,2023-03-25 19:00:00.0000000,Male,Black,28,Medium,Short,Light,Not of Hispanic Origin,,0,MA,,0
,47611682552,FC23001573,2023-03-25 19:00:00.0000000,Male,Black,32,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,47611678205,FC23001573,2023-03-25 19:00:00.0000000,Male,Black,25,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,47717594380,FC23001587,2023-03-26 14:27:00.0000000,Male,White,54,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,47719308568,FC23001592,2023-03-26 00:00:00.0000000,Male,Black,25,Medium,Braided,Dark,Unknown,,0,MA,Class D,0
,47719304235,FC23001592,2023-03-26 00:00:00.0000000,Female,Black,27,Stocky,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,47719306275,FC23001592,2023-03-26 00:00:00.0000000,Female,NULL,24,Heavy,NULL,NULL,Hispanic Origin,,0,MA,,0
,47719392521,FC23001594,2023-03-26 20:18:00.0000000,Male,White,37,Thin,NULL,NULL,Hispanic Origin,,0,MA,,0
,49310516932,FC23002208,2023-04-30 01:55:00.0000000,Male,Black,34,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,49311784212,FC23002210,2023-04-27 13:23:00.0000000,Male,Black,33,Muscular,Short,Dark Brown,Not of Hispanic Origin,,0,MA,,NULL
,49311785566,FC23002210,2023-04-27 13:23:00.0000000,Female,White,40,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,49314335724,FC23002214,2023-04-30 18:40:00.0000000,Male,White,26,NULL,NULL,NULL,Unknown,,0,MA,Class D,1
,49315871615,FC23002217,2023-05-01 01:01:00.0000000,Male,White,25,NULL,NULL,NULL,Hispanic Origin,,0,CT,,1
