recnum,person_id,fc_num,contact_date,sex,race,age,build,hair_style,skin_tone,ethnicity,otherclothing,deceased,license_state,license_type,was_frisked
,62079863816,FC25000008,2025-01-01 09:00:00.0000000,Male,Black,31,NULL,NULL,NULL,Hispanic Origin,,0,MA,"ID - Had a License, now has ID",0
,62079901187,FC25000008,2025-01-01 09:00:00.0000000,Male,White,33,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,62079903136,FC25000008,2025-01-01 09:00:00.0000000,Male,White,38,Medium,Wavy,Light,Not of Hispanic Origin,,0,MA,Class D,0
,62080004588,FC25000008,2025-01-01 09:00:00.0000000,Male,White,39,Medium,Bald or Balding,Medium,Unknown,,0,MA,ID Only - Never had Personal Driver License,0
,62080035811,FC25000008,2025-01-01 09:00:00.0000000,Male,White,39,Thin,Straight,Medium,Not of Hispanic Origin,,0,MA,,0
,62080063974,FC25000008,2025-01-01 09:00:00.0000000,Male,White,62,NULL,NULL,NULL,NULL,,0,NULL,,0
,62080108800,FC25000008,2025-01-01 09:00:00.0000000,Female,White,48,Heavy,Straight,Light,Not of Hispanic Origin,,0,MA,,0
,62080113940,FC25000008,2025-01-01 09:00:00.0000000,Male,White,39,Thin,Short,Light,Not of Hispanic Origin,,0,MA,Class D,0
,62080135697,FC25000008,2025-01-01 09:00:00.0000000,Male,White,40,Medium,Straight,Light,Unknown,,0,MA,Class D,0
,62080156378,FC25000008,2025-01-01 09:00:00.0000000,Female,White,40,NULL,Wavy,Light,NULL,,0,MA,,0
,62080178416,FC25000008,2025-01-01 09:00:00.0000000,Male,White,35,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,"ID - Had a License, now has ID",0
,62080498686,FC25000009,2025-01-01 14:45:00.0000000,Male,Black,15,Thin,Unkempt,Dark Brown,Not of Hispanic Origin,,0,MA,,0
,62080940564,FC25000010,2025-01-01 16:07:00.0000000,Male,Black,14,NULL,NULL,NULL,Hispanic Origin,,0,NULL,,1
,62080942208,FC25000010,2025-01-01 16:07:00.0000000,Male,White,15,NULL,NULL,NULL,Hispanic Origin,,0,NULL,,1
,62080945748,FC25000010,2025-01-01 16:07:00.0000000,Male,Black,14,NULL,NULL,NULL,NULL,,0,NULL,,1
,62082049938,FC25000015,2025-01-01 16:59:00.0000000,Female,Black,29,Medium,Braided,Dark Brown,Not of Hispanic Origin,,0,MA,Class D,0
,62082049421,FC25000015,2025-01-01 16:59:00.0000000,Male,Black,32,Unknown,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,1
,62081161673,FC25000011,2025-01-01 17:15:00.0000000,Male,Black,26,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,1
,62081615010,FC25000012,2025-01-01 18:45:00.0000000,Female,Black,21,NULL,NULL,NULL,Hispanic Origin,,0,NULL,,1
,62081620292,FC25000012,2025-01-01 18:45:00.0000000,Male,White,26,Heavy,Short,Light Brown,Not of Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,NULL
,62081982886,FC25000014,2025-01-01 19:15:00.0000000,Male,Black,47,Medium,NULL,Dark,Not of Hispanic Origin,,0,MA,,1
,62113666671,FC25000032,2025-01-02 00:00:00.0000000,Male,Black,17,NULL,NULL,NULL,NULL,,0,NULL,,1
,62114254832,FC25000033,2025-01-02 00:00:00.0000000,Male,Black,24,Thin,Braided,Medium,Unknown,,0,MA,ID Only - Never had Personal Driver License,1
,62114266144,FC25000033,2025-01-02 00:00:00.0000000,Male,Black,24,Thin,Braided,Medium Brown,Not of Hispanic Origin,,0,MA,,1
,62114276171,FC25000033,2025-01-02 00:00:00.0000000,Male,Black,22,Medium,Braided,Medium Brown,Not of Hispanic Origin,,0,MA,,1
,62082999207,FC25000018,2025-01-02 00:05:00.0000000,Male,Black,26,Medium,Short,Dark Brown,Not of Hispanic Origin,,0,MA,Class D,0
,62083263961,FC25000019,2025-01-02 01:01:00.0000000,Male,Black,53,Medium,Bald or Balding,Medium Brown,Unknown,,0,MA,Class D,1
,62084260645,FC25000020,2025-01-02 02:25:00.0000000,Male,Unknown,26,Thin,Short,NULL,NULL,,0,MA,,0
,62086705998,FC25000022,2025-01-02 04:10:00.0000000,Female,White,20,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,NULL
,62086706463,FC25000022,2025-01-02 04:10:00.0000000,Male,White,20,NULL,NULL,NULL,Hispanic Origin,,0,MA,Class D,1
,62085331495,FC25000021,2025-01-02 04:12:00.0000000,Male,Black,43,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,62085341834,FC25000021,2025-01-02 04:12:00.0000000,Female,White,29,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,NULL
,62088320954,FC25000023,2025-01-02 10:15:00.0000000,Male,White,16,Thin,Curly,Light,NULL,,0,MA,,1
,62091163509,FC25000024,2025-01-02 11:40:00.0000000,Male,Black,24,Thin,Afro,Light Brown,Not of Hispanic Origin,,0,MA,Class D,0
,62096679400,FC25000025,2025-01-02 14:47:00.0000000,Male,Black,NULL,NULL,NULL,NULL,NULL,,0,NULL,,0
,62097761358,FC25000026,2025-01-02 15:00:00.0000000,Male,Black,54,Thin,Bald or Balding,Dark,Not of Hispanic Origin,,0,MA,,0
,62185559812,FC25000089,2025-01-02 15:29:00.0000000,Male,White,21,Medium,Short,NULL,NULL,,0,MA,,NULL
,62185559812,FC25000089,2025-01-02 15:29:00.0000000,Male,White,21,Medium,Short,NULL,NULL,,0,MA,,1
,62115185174,FC25000036,2025-01-02 17:19:00.0000000,Male,Black,46,Stocky,NULL,NULL,Hispanic Origin,,0,MA,"ID - Had a License, now has ID",1
,62115070372,FC25000035,2025-01-02 18:15:00.0000000,Male,Black,19,NULL,NULL,NULL,NULL,,0,NULL,,0
,62115119361,FC25000035,2025-01-02 18:15:00.0000000,Male,Black,NULL,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,1
,62115133404,FC25000035,2025-01-02 18:15:00.0000000,Male,Black,18,NULL,NULL,NULL,Unknown,,0,NULL,,0
,62114425425,FC25000034,2025-01-02 18:35:00.0000000,Male,NULL,27,Unknown,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,62107216501,FC25000027,2025-01-02 19:20:00.0000000,Female,Black,36,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,62107296413,FC25000027,2025-01-02 19:20:00.0000000,Male,Black,33,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,0
,62108895009,FC25000028,2025-01-02 19:30:00.0000000,Male,Black,41,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,62112655989,FC25000030,2025-01-02 21:37:00.0000000,Male,Black,41,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,62116409330,FC25000037,2025-01-02 22:47:00.0000000,Male,White,40,Medium,Bald or Balding,NULL,Not of Hispanic Origin,,0,MA,,1
,62123684166,FC25000042,2025-01-03 00:00:00.0000000,Female,NULL,26,NULL,NULL,NULL,NULL,,0,NULL,,0
,62123712675,FC25000042,2025-01-03 00:00:00.0000000,Female,NULL,52,NULL,NULL,NULL,Hispanic Origin,,0,OTH,,0
,62118129423,FC25000038,2025-01-03 00:31:00.0000000,Male,Black,34,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,1
,62118171490,FC25000039,2025-01-03 00:41:00.0000000,Male,Black,37,Medium,Afro,Medium,Not of Hispanic Origin,,0,MA,,0
,62118302407,FC25000040,2025-01-03 01:15:00.0000000,Male,Black,41,Heavy,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,1
,62118309750,FC25000040,2025-01-03 01:15:00.0000000,Female,Black,29,Heavy,NULL,NULL,Not of Hispanic Origin,,0,MA,,NULL
,62123254078,FC25000041,2025-01-03 07:11:00.0000000,Male,Black,36,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,NULL
,62123255698,FC25000041,2025-01-03 07:11:00.0000000,Male,White,40,Medium,Bald or Balding,NULL,Not of Hispanic Origin,,0,MA,,0
,62124184407,FC25000043,2025-01-03 09:06:00.0000000,Male,White,30,Thin,Short,Light,Not of Hispanic Origin,,0,MA,,1
