recnum,person_id,fc_num,contact_date,sex,race,age,build,hair_style,skin_tone,ethnicity,otherclothing,deceased,license_state,license_type,was_frisked
,60190773916,FC24004237,11:00.0,Male,Black,42,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,60193617661,FC24004240,59:00.0,Male,Black,36,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,60197515405,FC24004242,40:00.0,Female,Black,45,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,0
,60201396297,FC24004248,30:00.0,Male,Black,37,Medium,Braided,Light Brown,Hispanic Origin,,0,MA,,NULL
,60201398347,FC24004248,30:00.0,Male,Black,15,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,0
,60201398920,FC24004248,30:00.0,Male,Black,18,Heavy,Short,Medium Brown,Not of Hispanic Origin,,0,MA,,0
,60201615812,FC24004249,00:00.0,Male,Black,36,Medium,Short,Dark,Not of Hispanic Origin,,0,MA,Class D,0
,60216085889,FC24004258,00:00.0,Male,Black,36,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,60217654227,FC24004264,00:00.0,Male,White,43,Thin,Short,OTHER,Not of Hispanic Origin,,0,MA,Class D,1
,60218687238,FC24004265,00:00.0,Male,Black,32,Thin,Short,Dark Brown,Not of Hispanic Origin,,0,MA,Class D,0
,60218692452,FC24004265,00:00.0,Male,Black,29,Medium,Dreadlocks,Dark Brown,Not of Hispanic Origin,,0,MA,,0
,60219161221,FC24004267,00:00.0,Male,White,14,NULL,NULL,NULL,Hispanic Origin,,0,NULL,,1
,60219162167,FC24004267,00:00.0,Male,Black,16,Thin,NULL,Dark Brown,Unknown,,0,NULL,,1
,60227770268,FC24004267,00:00.0,Male,Black,NULL,NULL,NULL,NULL,NULL,,0,NULL,,1
,60219838384,FC24004272,51:00.0,Male,Black,35,Thin,Braided,NULL,Not of Hispanic Origin,,0,MA,Class D,1
,60222380252,FC24004274,09:00.0,Male,White,42,NULL,NULL,NULL,NULL,,0,MA,,1
,60222383635,FC24004274,09:00.0,Female,White,31,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,60227086790,FC24004277,25:00.0,Male,Asian,67,Medium,Straight,Medium,Not of Hispanic Origin,,0,NULL,,0
,60228921764,FC24004279,38:00.0,Male,White,41,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,60228924672,FC24004279,38:00.0,Female,White,36,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,60229271983,FC24004280,27:00.0,Male,White,53,Medium,Short,Light,Not of Hispanic Origin,,0,MA,,0
,60229271983,FC24004280,27:00.0,Male,White,53,Medium,Short,Light,Not of Hispanic Origin,,0,MA,,NULL
,60249992995,FC24004288,54:00.0,Female,Black,38,NULL,NULL,NULL,Hispanic Origin,,0,MA,Class D,0
,60250790181,FC24004291,30:00.0,Male,Black,36,Medium,Curly,NULL,Unknown,,0,MA,,1
,60264889211,FC24004295,00:00.0,Male,Black,20,NULL,NULL,NULL,NULL,,0,NULL,,1
,60299537018,FC24004296,59:00.0,Male,White,43,Thin,Short,OTHER,Not of Hispanic Origin,,0,MA,Class D,0
,60299010525,FC24004301,00:00.0,Male,Black,24,Medium,Dreadlocks,Dark,Not of Hispanic Origin,,0,MA,,1
,60299019695,FC24004301,00:00.0,Male,Black,24,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,1
,60299051114,FC24004301,00:00.0,Male,Black,22,Thin,NULL,Medium Brown,Not of Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,1
,60299067817,FC24004301,00:00.0,Male,Black,28,Heavy,Unkempt,Medium Brown,Not of Hispanic Origin,,0,MA,,1
,60299089006,FC24004301,00:00.0,Male,Black,25,Medium,Short,Medium Brown,Not of Hispanic Origin,,0,MA,,NULL
,60311032796,FC24004307,30:00.0,Female,White,43,NULL,NULL,NULL,Unknown,,0,MA,Class D,1
,60311047073,FC24004307,30:00.0,Male,White,33,Thin,NULL,NULL,Hispanic Origin,,0,MA,,0
,60311163933,FC24004309,00:00.0,Male,Black,25,Thin,Short,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,60311164800,FC24004309,00:00.0,Male,Black,25,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,60317005347,FC24004312,04:00.0,Male,Unknown,53,NULL,NULL,NULL,Hispanic Origin,,0,MA,Class D,0
,60317065411,FC24004312,04:00.0,Male,Unknown,42,NULL,NULL,NULL,Hispanic Origin,,0,OTH,Other: unknown,0
,60317095671,FC24004312,04:00.0,Female,Unknown,46,NULL,NULL,NULL,Hispanic Origin,,0,NULL,,0
,60325330482,FC24004315,35:00.0,Male,Black,25,Heavy,NULL,NULL,Hispanic Origin,,0,MA,,0
,60328107607,FC24004320,13:00.0,Male,White,33,Medium,NULL,NULL,Hispanic Origin,,0,MA,,0
,60328133294,FC24004320,13:00.0,Male,White,27,Medium,NULL,NULL,Hispanic Origin,,0,MA,Class D,0
,60328142564,FC24004320,13:00.0,Male,White,31,Thin,Braided,Light,Hispanic Origin,,0,MA,Class D,0
,60328103652,FC24004321,00:00.0,Male,White,38,Medium,Straight,Light,Not of Hispanic Origin,,0,MA,,1
,60328111219,FC24004321,00:00.0,Male,White,33,Medium,Short,Light,NULL,,0,MA,,1
,60328609540,FC24004322,37:00.0,Male,Black,17,Thin,NULL,Light Brown,Hispanic Origin,,0,MA,,0
,60328610248,FC24004322,37:00.0,Male,White,20,NULL,NULL,NULL,Hispanic Origin,,0,MA,Instruction Permit,NULL
,60349024763,FC24004327,15:00.0,Male,White,45,NULL,NULL,NULL,Unknown,,0,NULL,,0
,60356759934,FC24004332,00:00.0,Male,White,41,NULL,NULL,NULL,Unknown,,0,MA,"ID - Had a License, now has ID",1
,60226264239,FC24004276,00:00.0,Male,White,36,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,NULL
,60237621039,FC24004283,00:00.0,Male,Asian,18,Thin,NULL,Light Brown,Hispanic Origin,,0,MA,,0
,60237627296,FC24004283,00:00.0,Male,Black,24,Thin,Short,Dark,Unknown,,0,MA,,0
,60239060355,FC24004285,23:00.0,Male,Black,23,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,1
,60239102128,FC24004285,23:00.0,Male,Black,22,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Instruction Permit,1
,60249916129,FC24004287,15:00.0,Female,Black,32,Medium,Braided,Medium Brown,Not of Hispanic Origin,,0,MA,,0
,60250113102,FC24004290,41:00.0,Male,Unknown,12,NULL,NULL,NULL,Unknown,,0,NULL,,1
,60250113793,FC24004290,41:00.0,Male,White,17,Medium,NULL,NULL,Hispanic Origin,,0,MA,,1
,60250928733,FC24004292,00:00.0,Male,Black,34,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,NULL
,60250981193,FC24004292,00:00.0,Male,Black,42,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,60261304603,FC24004293,10:00.0,Male,Unknown,21,NULL,NULL,NULL,Hispanic Origin,,0,VT,Class D,0
,60273227115,FC24004298,56:00.0,Male,White,40,Medium,Short,Light,Not of Hispanic Origin,,0,MA,,0
,60316992506,FC24004311,06:00.0,Male,Black,31,Heavy,Braided,Dark,Not of Hispanic Origin,,0,MA,,0
,60317011645,FC24004311,06:00.0,Male,Black,30,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,60317212605,FC24004313,14:00.0,Male,Unknown,42,NULL,NULL,NULL,Unknown,,0,MA,,1
,60208819335,FC24004253,00:00.0,Male,White,20,NULL,NULL,NULL,Unknown,,0,NULL,,0
,60216097954,FC24004259,46:00.0,Male,Black,18,Heavy,Short,Medium Brown,Not of Hispanic Origin,,0,MA,,0
,60216099113,FC24004259,46:00.0,Female,Black,21,NULL,NULL,NULL,NULL,,0,MA,,0
,60216100150,FC24004259,46:00.0,Male,White,16,Thin,Curly,Light,Hispanic Origin,,0,MA,None,0
,60216101026,FC24004259,46:00.0,Female,Black,15,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,0
,60216156574,FC24004259,46:00.0,Male,White,67,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,NULL
,60216170205,FC24004259,46:00.0,Female,Black,38,Stocky,NULL,NULL,Not of Hispanic Origin,,0,MA,,NULL
,60216791619,FC24004261,45:00.0,Male,Black,26,Thin,Braided,NULL,Not of Hispanic Origin,,0,MA,,0
,60237591260,FC24004282,51:00.0,Male,Black,21,Medium,Braided,Medium Brown,Not of Hispanic Origin,,0,MA,Class D,0
,60239456726,FC24004286,53:00.0,Male,Unknown,29,NULL,NULL,NULL,Unknown,,0,NY,Other: E,0
,60239493010,FC24004286,53:00.0,Male,Unknown,33,NULL,NULL,NULL,Unknown,,0,NY,Class D,0
,60250054018,FC24004289,59:00.0,Male,Black,26,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,1
,60273959395,FC24004299,36:00.0,Male,Black,20,Thin,Dreadlocks,Medium Brown,Not of Hispanic Origin,,0,MA,,0
,60273960593,FC24004299,36:00.0,Male,Black,23,Medium,Dreadlocks,Light Brown,Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,0
,60274041345,FC24004300,00:00.0,Male,Black,48,Heavy,Bald or Balding,Medium Brown,Not of Hispanic Origin,,0,MA,,1
,60308645043,FC24004302,30:00.0,Male,Black,35,Thin,Braided,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,60308564454,FC24004303,11:00.0,Male,Black,27,NULL,NULL,NULL,Unknown,,0,MA,Class D,1
,60308571371,FC24004303,11:00.0,Male,Black,36,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,NULL
,60308847716,FC24004303,11:00.0,Male,Black,21,NULL,NULL,NULL,Unknown,,0,MA,Class D,NULL
,60309785038,FC24004304,00:00.0,Male,NULL,27,Thin,Dreadlocks,Medium,Not of Hispanic Origin,,0,MA,,0
,60310901890,FC24004306,30:00.0,Male,Black,31,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,60311067709,FC24004308,00:00.0,Male,Black,15,Thin,Short,NULL,Not of Hispanic Origin,,0,MA,,0
,60325372245,FC24004316,30:00.0,Male,Black,21,Thin,Afro,Light Brown,Not of Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,0
,60325375576,FC24004316,30:00.0,Male,Black,18,Medium,Afro,NULL,Unknown,,0,MA,,0
,60325379364,FC24004316,30:00.0,Male,Asian,18,Thin,NULL,Light Brown,Hispanic Origin,,0,MA,,0
,60325383269,FC24004316,30:00.0,Male,Black,33,Thin,NULL,Medium,Not of Hispanic Origin,,0,MA,,0
,60325387251,FC24004316,30:00.0,Male,White,20,Thin,Wavy,Fair,Unknown,,0,MA,,0
,60325395740,FC24004316,30:00.0,Male,White,27,Thin,NULL,NULL,Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,0
,60325399296,FC24004316,30:00.0,Male,Black,19,Thin,Curly,NULL,NULL,,0,MA,ID Only - Never had Personal Driver License,0
,60384501843,FC24004318,45:00.0,Male,Black,25,Thin,Short,Dark Brown,Not of Hispanic Origin,,0,MA,Class D,0
,60384505013,FC24004318,45:00.0,Male,White,25,Thin,Afro,Light Brown,Hispanic Origin,,0,MA,"ID - Had a License, now has ID",0
,60384505852,FC24004318,45:00.0,Male,Black,25,Thin,Short,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,60384512669,FC24004318,45:00.0,Male,NULL,16,NULL,NULL,NULL,NULL,,0,NULL,,0
,60355208956,FC24004331,46:00.0,Female,White,39,Medium,Curly,Light,NULL,,0,MA,,1
,60355215708,FC24004331,46:00.0,Male,White,43,Medium,Short,Light,Not of Hispanic Origin,,0,MA,,1
,60357945329,FC24004333,04:00.0,Male,White,20,NULL,NULL,NULL,NULL,,0,NULL,,1
,60380947350,FC24004361,01:00.0,Male,Unknown,20,NULL,NULL,NULL,NULL,,0,MA,No License - Record Only,1
,60380959472,FC24004361,01:00.0,Male,Unknown,18,NULL,NULL,NULL,NULL,,0,MA,Class D,1
,60424265505,FC24004387,31:00.0,Female,Black,34,NULL,NULL,NULL,Unknown,,0,NULL,,0
,60481060821,FC24004392,30:00.0,Male,Black,47,Thin,Short,Dark Brown,Not of Hispanic Origin,,0,MA,"ID - Had a License, now has ID",0
,60481912524,FC24004392,30:00.0,Male,Black,50,Muscular,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,60491796046,FC24004393,30:00.0,Male,Black,34,Average,Short,Dark,Not of Hispanic Origin,,0,MA,,1
,60491830845,FC24004393,30:00.0,Male,Black,46,Stocky,NULL,NULL,Not of Hispanic Origin,,0,MA,,NULL
,60499758874,FC24004394,38:00.0,Male,Black,53,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,60325407655,FC24004316,30:00.0,Male,Black,24,Thin,Afro,Dark,Not of Hispanic Origin,,0,MA,,0
,60325409080,FC24004316,30:00.0,Male,Black,16,Thin,NULL,Light,NULL,,0,MA,,0
,60325413077,FC24004316,30:00.0,Male,Black,30,Medium,Short,Light Brown,Not of Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,0
,60325433982,FC24004317,15:00.0,Female,White,NULL,NULL,NULL,NULL,Hispanic Origin,,0,NULL,,NULL
,60325443015,FC24004317,15:00.0,Male,White,49,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,60330556000,FC24004323,20:00.0,Male,Black,19,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,1
,60335757481,FC24004325,20:00.0,Male,Black,40,Stocky,NULL,NULL,Not of Hispanic Origin,,0,MA,,1
,60354885445,FC24004330,30:00.0,Male,Black,18,Heavy,Short,Medium Brown,Not of Hispanic Origin,,0,MA,,0
,60354894224,FC24004330,30:00.0,Male,White,16,Thin,Curly,Light,Hispanic Origin,,0,MA,None,0
,60359210143,FC24004335,50:00.0,Female,White,36,Thin,Straight,Light,Not of Hispanic Origin,,0,MA,Class D,0
,60359221528,FC24004335,50:00.0,Male,White,42,Thin,NULL,Light,Not of Hispanic Origin,,0,MA,"ID - Had a License, now has ID",0
,60359550422,FC24004338,15:00.0,Male,Black,17,NULL,NULL,NULL,Hispanic Origin,,0,NULL,,1
,60359552206,FC24004338,15:00.0,Male,Black,17,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,1
,60359553676,FC24004338,15:00.0,Male,Black,18,NULL,NULL,NULL,NULL,,0,NULL,,1
,60360168452,FC24004341,30:00.0,Male,Black,21,Thin,Dreadlocks,Dark Brown,Not of Hispanic Origin,,0,MA,,0
,60310802927,FC24004305,38:00.0,Male,Black,22,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,60310803408,FC24004305,38:00.0,Female,Black,20,Medium,Braided,Medium Brown,Not of Hispanic Origin,,0,MA,,0
,60316155518,FC24004310,00:00.0,Male,White,64,Medium,Bald or Balding,Light,Not of Hispanic Origin,,0,MA,,0
,60316722861,FC24004310,00:00.0,Male,Black,33,Thin,Short,Light Brown,Hispanic Origin,,0,MA,Class D,0
,60318618248,FC24004314,00:00.0,Male,White,18,Thin,Curly,Light,Hispanic Origin,,0,MA,,1
,60318621334,FC24004314,00:00.0,Male,Black,17,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,,1
,60318630589,FC24004314,00:00.0,Male,Black,18,Thin,NULL,Medium Brown,NULL,,0,MA,,0
,60326991195,FC24004319,00:00.0,Male,White,39,Thin,Receding or Slightly Receding,Light,Not of Hispanic Origin,,0,MA,Class D,1
,60334734575,FC24004324,00:00.0,Male,Unknown,31,NULL,NULL,NULL,NULL,,0,NULL,,1
,60349234936,FC24004328,00:00.0,Male,White,44,NULL,NULL,NULL,NULL,,0,NULL,,0
,60352848504,FC24004329,00:00.0,Male,Black,21,Thin,Afro,Light Brown,Not of Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,0
,60359214797,FC24004336,05:00.0,Male,White,46,NULL,NULL,NULL,NULL,,0,NULL,,1
,60359368728,FC24004337,50:00.0,Male,White,32,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,1
,60359991290,FC24004339,15:00.0,Male,Black,54,Medium,Short,Medium Brown,Not of Hispanic Origin,,0,MA,Class D,0
,60368875641,FC24004349,22:00.0,Male,White,39,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,60368877466,FC24004349,22:00.0,Female,White,38,Heavy,NULL,NULL,Unknown,,0,MA,,1
,60378363200,FC24004357,20:00.0,Male,Black,35,Medium,Short,Dark,NULL,,0,MA,,0
,60378364622,FC24004357,20:00.0,Male,Black,27,Thin,Braided,Medium Brown,Not of Hispanic Origin,,0,MA,,0
,60378430776,FC24004358,30:00.0,Male,Black,21,Thin,Curly,Light,Not of Hispanic Origin,,0,MA,,0
,60378445531,FC24004358,30:00.0,Male,Black,19,Thin,Afro,Light Brown,Hispanic Origin,,0,MA,,0
,60379138404,FC24004358,30:00.0,Male,Black,18,Thin,Afro,Light Brown,NULL,,0,MA,ID Only - Never had Personal Driver License,0
,60379140725,FC24004358,30:00.0,Male,White,19,Thin,Curly,Light,NULL,,0,MA,,0
,60389500106,FC24004368,13:00.0,Male,Black,31,Thin,Short,Medium Brown,Unknown,,0,MA,,1
,60389517022,FC24004368,13:00.0,Male,Black,37,Thin,NULL,NULL,Hispanic Origin,,0,MA,,1
,60389518942,FC24004368,13:00.0,Male,White,45,Thin,Short,Light,Not of Hispanic Origin,,0,MA,Class D,1
,60389752416,FC24004368,13:00.0,Female,White,39,Medium,Straight,Light,Not of Hispanic Origin,,0,MA,,1
,60389769430,FC24004368,13:00.0,Male,White,38,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,1
,60390300868,FC24004371,00:00.0,Male,NULL,27,Thin,Dreadlocks,Medium,Not of Hispanic Origin,,0,MA,,0
,60396771463,FC24004373,42:00.0,Male,Black,27,Medium,Dreadlocks,Medium Brown,Not of Hispanic Origin,,0,MA,Class D,0
,60356776271,FC24004332,00:00.0,Female,White,50,Thin,Straight,Light,Not of Hispanic Origin,,0,MA,,1
,60358188959,FC24004334,00:00.0,Male,Black,20,Thin,Curly,Medium Brown,NULL,,0,MA,Class D,0
,60358200320,FC24004334,00:00.0,Male,White,23,NULL,NULL,NULL,Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,0
,60358202523,FC24004334,00:00.0,Female,White,16,Thin,Wavy,Medium,NULL,,0,MA,,1
,60358225065,FC24004334,00:00.0,Female,Other,42,NULL,NULL,NULL,NULL,,0,MA,Class D,0
,60360107630,FC24004340,40:00.0,Male,Black,29,Medium,Corn Rows,Dark Brown,Not of Hispanic Origin,,0,MA,"ID - Had a License, now has ID",1
